Name,Object Type,Elevation,Trajectory,Catalog Name,Outreach Info,Interval,Visibility Link
Orion Nebula,nebula,32,rising,M42,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.hfgmj1uho9ly,6:30-7:30,https://in-the-sky.org/data/object.php?id=M42&day=20&month=01&year=2026
jupiter,planet,43,rising,jupiter,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.pdu2bqr8e9z9,7:30-8:30,https://in-the-sky.org/data/object.php?id=jupiter&day=20&month=01&year=2026
