Name,Object Type,Elevation,Trajectory,Catalog Name,Outreach Info,Interval,Visibility Link
M51,galaxy,80,rising,M51,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.gvsja0wbdv2f,9:45-10:00,https://in-the-sky.org/data/object.php?id=M51&day=01&month=06&year=2026
Snowglobe Cluster,Globular Cluster,80,rising,NGC5466,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.7ctyu5s0fb9n,10:15-10:30,https://in-the-sky.org/data/object.php?id=NGC5466&day=01&month=06&year=2026
Owl Nebula,nebula,53,falling,M97,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.hfgmj1uho9ly,10:45-11:00,https://in-the-sky.org/data/object.php?id=M97&day=01&month=06&year=2026
Ring Nebula,nebula,41,rising,M57,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.hfgmj1uho9ly,11:15-11:30,https://in-the-sky.org/data/object.php?id=M57&day=01&month=06&year=2026
Alternate Targets,,,,,,,
Black Eye Galaxy,galaxy,74,falling,M64,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.gvsja0wbdv2f,earlier in the night,https://in-the-sky.org/data/object.php?id=M64&day=01&month=06&year=2026
Pinwheel Galaxy,galaxy,73,falling,M101,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.gvsja0wbdv2f,earlier in the night,https://in-the-sky.org/data/object.php?id=M101&day=01&month=06&year=2026
M109,galaxy,71,falling,M109,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.gvsja0wbdv2f,earlier in the night,https://in-the-sky.org/data/object.php?id=M109&day=01&month=06&year=2026
