Name,Object Type,Elevation,Trajectory,Catalog Name,Outreach Info,Interval,Visibility Link
saturn,planet,35,falling,saturn,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.pdu2bqr8e9z9,6:30-6:50,https://in-the-sky.org/data/object.php?id=saturn&day=20&month=01&year=2026
Sigma-Orionis,point,37,rising,HIP26549,,7:10-7:30,https://in-the-sky.org/data/object.php?id=HIP26549&day=20&month=01&year=2026
jupiter,planet,43,rising,jupiter,https://docs.google.com/document/d/1gFdZzrRGJdO8h30Y4WZMfgOvV_Y-Xj6xaUKWY6pTceE/edit?tab=t.0#heading=h.pdu2bqr8e9z9,7:50-8:10,https://in-the-sky.org/data/object.php?id=jupiter&day=20&month=01&year=2026
